u,v,sim
Q43P__bottom,Q45P__top,0.5070771603238421
Q43P__bottom,Q5P__top,0.5433693551849996
Q43P__bottom,Q6P__top,0.5594879013338696
Q33P__bottom,Q116__middle,0.5168210945618289
Q33P__bottom,Q123__top,0.5210084033613446
Q33P__bottom,Q204P__top,0.5084277034255839
Q33P__bottom,Q206P__top,0.5377678783815929
Q33P__bottom,Q235P__bottom,0.5344982683398551
Q33P__bottom,Q35P__bottom,0.6120115905283651
Q33P__bottom,Q54P__bottom,0.5075073906955033
Q33P__bottom,Q62P__top,0.5086023452709739
Q33P__bottom,Q93,0.5118150035803041
Q112__top,Q116__top,0.5344659848610682
Q112__top,Q124__top,0.5041185772616772
Q112__top,Q126__top,0.5101677621431792
Q112__top,Q128__top,0.5139368658888961
Q112__top,Q140P,0.5133959290581785
Q112__top,Q143P__top,0.500961013691479
Q112__top,Q164__top,0.5461305087420866
Q112__top,Q169P__top,0.5207366890535208
Q112__top,Q172P__top,0.5467943343776199
Q112__top,Q173P__top,0.5101262311000139
Q112__top,Q182__bottom,0.5126060856965432
Q112__top,Q184__bottom,0.5087458805635027
Q112__top,Q187__bottom,0.5017245198240673
Q112__top,Q188__bottom,0.5150702225027616
Q112__top,Q253P__bottom,0.5105711506062691
Q112__top,Q27P__top,0.5366068929886122
Q112__top,Q5P__top,0.5111643884634652
Q112__top,Q69P__bottom,0.5236931400232542
Q112__top,Q6P__top,0.5436914895993923
Q112__top,Q70P__bottom,0.5578387869871627
Q116__top,Q113__middle,0.5318095669146559
Q116__top,Q114__middle,0.5085570422336002
Q116__top,Q115__middle,0.5339877231195723
Q116__top,Q117__top,0.593929450369155
Q116__top,Q253P__bottom,0.5026449039631128
Q116__top,Q69P__bottom,0.542188695170522
Q116__top,Q70P__bottom,0.5182725874569734
Q124__top,Q125__top,0.5489484963379884
Q124__top,Q126__top,0.7489674054143359
Q124__top,Q128__top,0.6739446870451238
Q124__top,Q129__top,0.6949259307528564
Q124__top,Q130P__middle,0.5329368170124383
Q126__top,Q125__top,0.55657866848786
Q126__top,Q128__top,0.6699689326294292
Q126__top,Q129__top,0.6882358052043964
Q126__top,Q130P__middle,0.5311801891724892
Q128__top,Q125__top,0.5185861087575224
Q128__top,Q129__top,0.7388678917416047
Q128__top,Q130P__middle,0.5165004670968303
Q128__top,Q164__top,0.5494800343720955
Q128__top,Q167P,0.5379587925251558
Q128__top,Q169P__top,0.5163266636251059
Q128__top,Q172P__top,0.523604684003563
Q128__top,Q173P__top,0.5278644749618533
Q128__top,Q182__bottom,0.5577520182156903
Q128__top,Q184__bottom,0.5361605041103827
Q128__top,Q187__bottom,0.5284783090212954
Q128__top,Q188__bottom,0.5344011361843144
Q128__top,Q218P__bottom,0.5323760843284057
Q128__top,Q27P__top,0.5383721180548081
Q128__top,Q28P__top,0.5022051315475027
Q128__top,Q6P__top,0.527363184079602
Q140P,Q164__top,0.5288041667397366
Q140P,Q169P__top,0.5039621762003064
Q140P,Q172P__top,0.5367338834223183
Q140P,Q173P__top,0.5204605354418088
Q140P,Q27P__top,0.522463565324091
Q140P,Q6P__top,0.5212314931965994
Q143P__top,Q142P__top,0.6757275257369829
Q143P__top,Q146P__top,0.6193898781377503
Q143P__top,Q147P__top,0.6333594531060013
Q143P__top,Q148P__top,0.588181253208679
Q143P__top,Q27P__top,0.5095472843519256
Q143P__top,Q6P__top,0.5023348303058739
Q164__top,Q151P,0.6612518916830344
Q164__top,Q165P,0.7438279581593373
Q164__top,Q166P,0.7463304280728829
Q164__top,Q167P,0.7158164249513355
Q164__top,Q168P,0.7782296729821777
Q164__top,Q169P__top,0.6281325079353944
Q164__top,Q170P__top,0.5549339740104869
Q164__top,Q172P__top,0.6861617242165442
Q164__top,Q173P__top,0.7913892356776252
Q164__top,Q182__bottom,0.6206793749890395
Q164__top,Q183__bottom,0.6318327692334672
Q164__top,Q184__bottom,0.7177805446924925
Q164__top,Q186__bottom,0.5743998035880259
Q164__top,Q187__bottom,0.7048223269942727
Q164__top,Q188__bottom,0.6682040580116795
Q164__top,Q193__bottom,0.6516493344790698
Q164__top,Q195__bottom,0.5567402627010154
Q164__top,Q205P__bottom,0.5397295827999229
Q164__top,Q209P__bottom,0.5002192097925399
Q164__top,Q210P__bottom,0.6625819123602927
Q164__top,Q218P__bottom,0.5404661277028567
Q164__top,Q234P__top,0.6619461020546634
Q164__top,Q254P__top,0.6830051032039703
Q164__top,Q255P__top,0.5793276397243218
Q164__top,Q257P__top,0.5222629465303474
Q164__top,Q27P__top,0.6081931852059695
Q164__top,Q45P__top,0.6471949914946601
Q164__top,Q57P__c1,0.6587669156200887
Q164__top,Q5P__top,0.6789541062378338
Q164__top,Q6P__top,0.6822334847342301
Q169P__top,Q151P,0.5213317448562321
Q169P__top,Q15P,0.5571557155715572
Q169P__top,Q165P,0.536814614306895
Q169P__top,Q166P,0.5807488321449896
Q169P__top,Q167P,0.6261427886919022
Q169P__top,Q168P,0.6035611546473564
Q169P__top,Q170P__top,0.7135175055967136
Q169P__top,Q172P__top,0.6785950668490491
Q169P__top,Q173P__top,0.5962165348869469
Q169P__top,Q182__bottom,0.6010763817015111
Q169P__top,Q183__bottom,0.5356447972604872
Q169P__top,Q184__bottom,0.5845072972875095
Q169P__top,Q185__bottom,0.5093124697085093
Q169P__top,Q186__bottom,0.6309169378476309
Q169P__top,Q187__bottom,0.5325127361326456
Q169P__top,Q188__bottom,0.6047222660564936
Q169P__top,Q193__bottom,0.549879040707088
Q169P__top,Q205P__bottom,0.5093823812439856
Q169P__top,Q209P__bottom,0.5411156500265412
Q169P__top,Q210P__bottom,0.5083172550451062
Q169P__top,Q211P__bottom,0.5124783473407326
Q169P__top,Q212P__bottom,0.5093058786763429
Q169P__top,Q214P__bottom,0.5109566713451351
Q169P__top,Q218P__bottom,0.5081125792699739
Q169P__top,Q22P,0.5522629185995522
Q169P__top,Q254P__top,0.5368249072952234
Q169P__top,Q255P__top,0.5368167599604873
Q169P__top,Q256P__top,0.5011655011655012
Q169P__top,Q257P__top,0.5260829704331882
Q169P__top,Q27P__top,0.6054937248401611
Q169P__top,Q28P__top,0.5383692215375384
Q169P__top,Q29P__top,0.5273142698885274
Q169P__top,Q45P__top,0.5141818582364928
Q169P__top,Q5P__top,0.5305410434409218
Q169P__top,Q6P__top,0.7155305315369663
Q172P__top,Q151P,0.5282384003606272
Q172P__top,Q15P,0.5453161540837489
Q172P__top,Q165P,0.5757579879483656
Q172P__top,Q166P,0.6056689262758597
Q172P__top,Q167P,0.6372208912314327
